# by the following command:		
# mdrun_d -deffnm pull-v-0-0001 -s pull-v-0-0001.tpr 		
#		
# mdrun_d is part of G R O M A C S:		
#		
# Go Rough, Oppose Many Angry Chinese Serial killers		
#		
"@    title ""Pull COM"""		
"@    xaxis  label ""Time (ps)"""		
"@    yaxis  label ""Position (nm)"""		
@TYPE xy		
@ view 0.15, 0.15, 0.75, 0.85		
@ legend on		
@ legend box on		
@ legend loctype view		
@ legend 0.78, 0.8		
@ legend length 2		
"@ s0 legend ""0 Z"""		
"@ s1 legend ""1 dZ"""		
0	8.70145	-1.61419
2	8.63954	-1.59951
4	8.57663	-1.56462
6	8.60454	-1.58292
8	8.5448	-1.49568
10	8.60403	-1.58698
12	8.54921	-1.54773
14	8.59179	-1.63689
16	8.63403	-1.65642
18	8.54942	-1.59131
20	8.61656	-1.65384
22	8.54557	-1.58677
24	8.55752	-1.57251
26	8.51111	-1.62446
28	8.56449	-1.63484
30	8.50488	-1.61977
32	8.51225	-1.60763
34	8.47423	-1.62049
36	8.45246	-1.52409
38	8.46718	-1.64143
40	8.37912	-1.51225
42	8.4038	-1.58121
44	8.44387	-1.6271
46	8.40814	-1.62028
48	8.44978	-1.61887
50	8.43088	-1.59636
52	8.52839	-1.62511
54	8.42436	-1.59005
56	8.46117	-1.64076
58	8.45597	-1.54763
60	8.51157	-1.5753
62	8.47044	-1.53614
64	8.41475	-1.61008
66	8.40108	-1.5842
68	8.3769	-1.5972
70	8.40381	-1.60796
72	8.29556	-1.57548
74	8.27269	-1.57953
76	8.30815	-1.59245
78	8.2341	-1.60478
80	8.20116	-1.58634
82	8.13969	-1.56318
84	8.15455	-1.60101
86	8.14735	-1.61871
88	8.19771	-1.57592
90	8.28312	-1.61228
92	8.28661	-1.60334
94	8.32346	-1.6446
96	8.32794	-1.66185
98	8.32251	-1.58439
100	8.31849	-1.62429
102	8.31294	-1.60133
104	8.31789	-1.59714
106	8.33347	-1.64314
108	8.29	-1.59244
110	8.28448	-1.58682
112	8.31625	-1.58469
114	8.31676	-1.55698
116	8.34467	-1.56294
118	8.33699	-1.55746
120	8.33299	-1.54893
122	8.3747	-1.61601
124	8.38674	-1.60657
126	8.31667	-1.60062
128	8.3901	-1.61555
130	8.42677	-1.58779
132	8.33416	-1.57209
134	8.34852	-1.65031
136	8.3666	-1.63546
138	8.47321	-1.64767
140	8.43701	-1.61756
142	8.37037	-1.56446
144	8.40297	-1.64486
146	8.34485	-1.62121
148	8.40345	-1.64034
150	8.41431	-1.61346
152	8.42486	-1.61263
154	8.35507	-1.60316
156	8.30825	-1.55593
158	8.32294	-1.58891
160	8.35518	-1.65118
162	8.2527	-1.58924
164	8.22158	-1.58915
166	8.19428	-1.58209
168	8.15725	-1.53892
170	8.25248	-1.49966
172	8.40498	-1.70872
174	8.41505	-1.66288
176	8.45729	-1.67339
178	8.52308	-1.67743
180	8.56711	-1.76548
182	8.59672	-1.75368
184	8.5759	-1.74527
186	8.518	-1.68501
188	8.52078	-1.64509
190	8.46792	-1.65323
192	8.50335	-1.62207
194	8.44992	-1.59599
196	8.56237	-1.71601
198	8.47904	-1.6677
200	8.43021	-1.62059
202	8.42134	-1.57383
204	8.39648	-1.55468
206	8.45891	-1.61542
208	8.44077	-1.59419
210	8.44348	-1.62168
212	8.41276	-1.62981
214	8.3405	-1.69358
216	8.32605	-1.65309
218	8.36451	-1.6003
220	8.40182	-1.58779
222	8.29069	-1.55449
224	8.29266	-1.54693
226	8.36887	-1.64587
228	8.36059	-1.65224
230	8.45823	-1.70078
232	8.5095	-1.69479
234	8.51654	-1.70779
236	8.51075	-1.67162
238	8.51003	-1.67876
240	8.54084	-1.70781
242	8.51825	-1.68445
244	8.54403	-1.67226
246	8.51388	-1.664
248	8.50001	-1.64735
250	8.41925	-1.6285
252	8.49011	-1.66749
254	8.4308	-1.61071
256	8.40683	-1.62638
258	8.41566	-1.61218
260	8.40238	-1.57803
262	8.28124	-1.58267
264	8.32614	-1.57789
266	8.32676	-1.54171
268	8.35258	-1.5826
270	8.31215	-1.58532
272	8.24526	-1.50007
274	8.30451	-1.52737
276	8.31667	-1.51486
278	8.34654	-1.54522
280	8.37115	-1.54244
282	8.42422	-1.55469
284	8.43026	-1.59748
286	8.49138	-1.59626
288	8.41644	-1.5783
290	8.40115	-1.58156
292	8.342	-1.56041
294	8.34362	-1.52486
296	8.32293	-1.57419
298	8.30881	-1.58859
300	8.40701	-1.63202
302	8.36983	-1.65633
304	8.34182	-1.6267
306	8.31472	-1.62165
308	8.38133	-1.62661
310	8.50108	-1.70657
312	8.37462	-1.58412
314	8.46734	-1.65715
316	8.46839	-1.65763
318	8.46417	-1.65319
320	8.49236	-1.65649
322	8.49604	-1.65459
324	8.42973	-1.60266
326	8.43783	-1.63139
328	8.41871	-1.6014
330	8.34888	-1.55377
332	8.33955	-1.57524
334	8.38035	-1.59071
336	8.3641	-1.57347
338	8.29804	-1.55679
340	8.31647	-1.55351
342	8.45021	-1.61985
344	8.50756	-1.65526
346	8.49582	-1.72144
348	8.47607	-1.66835
350	8.43852	-1.64105
352	8.42168	-1.63335
354	8.38465	-1.61583
356	8.47406	-1.58945
358	8.50795	-1.62415
360	8.41261	-1.56629
362	8.50236	-1.63109
364	8.52297	-1.60977
366	8.52605	-1.62917
368	8.57014	-1.63225
370	8.56218	-1.62555
372	8.56277	-1.6184
374	8.55836	-1.61866
376	8.53759	-1.5772
378	8.55145	-1.60015
380	8.52152	-1.56109
382	8.47749	-1.54519
384	8.49713	-1.66577
386	8.4945	-1.62795
388	8.47115	-1.59677
390	8.42499	-1.58975
392	8.46731	-1.63598
394	8.48895	-1.62448
396	8.46563	-1.63757
398	8.41469	-1.63414
400	8.47358	-1.70322
402	8.41034	-1.63896
404	8.46626	-1.67437
406	8.44869	-1.66787
408	8.48636	-1.72825
410	8.43771	-1.67877
412	8.35816	-1.63679
414	8.41051	-1.59349
416	8.3343	-1.5377
418	8.39875	-1.56544
420	8.47602	-1.62954
422	8.43311	-1.58581
424	8.42505	-1.66485
426	8.48063	-1.59044
428	8.48357	-1.59402
430	8.44379	-1.55882
432	8.43264	-1.55384
434	8.4623	-1.58163
436	8.47758	-1.62102
438	8.44219	-1.62115
440	8.44744	-1.65377
442	8.43622	-1.67751
444	8.40213	-1.65312
446	8.38374	-1.6631
448	8.38387	-1.6838
450	8.29479	-1.59292
452	8.37823	-1.6484
454	8.34531	-1.62975
456	8.40258	-1.65288
458	8.38064	-1.68045
460	8.37901	-1.66009
462	8.31244	-1.63367
464	8.33948	-1.63877
466	8.31164	-1.64329
468	8.3772	-1.72506
470	8.36968	-1.69106
472	8.31243	-1.58358
474	8.26803	-1.61108
476	8.28963	-1.63823
478	8.34253	-1.67952
480	8.35968	-1.68347
482	8.43879	-1.71607
484	8.42852	-1.68127
486	8.34793	-1.68522
488	8.33119	-1.67597
490	8.33301	-1.72886
492	8.26952	-1.71464
494	8.28084	-1.66962
496	8.2425	-1.64458
498	8.24819	-1.6698
500	8.23184	-1.65396
502	8.29351	-1.6966
504	8.26148	-1.71401
506	8.18888	-1.66284
508	8.21285	-1.61389
510	8.17223	-1.59981
512	8.21943	-1.60758
514	8.27453	-1.71339
516	8.30213	-1.74551
518	8.21864	-1.65207
520	8.22924	-1.63361
522	8.25003	-1.66588
524	8.22663	-1.67067
526	8.1852	-1.64596
528	8.14137	-1.6699
530	8.14876	-1.62092
532	8.1293	-1.66549
534	8.15723	-1.72517
536	8.07903	-1.69752
538	8.06898	-1.70026
540	8.06228	-1.60734
542	8.11901	-1.64564
544	8.17522	-1.6586
546	8.09603	-1.6021
548	8.06064	-1.56855
550	8.0795	-1.60853
552	8.07014	-1.61285
554	8.12571	-1.58877
556	8.16704	-1.66863
558	8.1515	-1.72592
560	8.16517	-1.70395
562	8.10797	-1.62597
564	8.1892	-1.68375
566	8.19274	-1.74697
568	8.15758	-1.70163
570	8.12755	-1.67133
572	8.21437	-1.72227
574	8.20366	-1.69506
576	8.21078	-1.70848
578	8.2286	-1.62289
580	8.25178	-1.62191
582	8.30195	-1.72649
584	8.25147	-1.64995
586	8.25981	-1.59791
588	8.3375	-1.67649
590	8.31489	-1.67793
592	8.30333	-1.6817
594	8.27976	-1.66335
596	8.2787	-1.69464
598	8.26531	-1.61074
600	8.30046	-1.59416
602	8.31827	-1.6788
604	8.34797	-1.65473
606	8.33851	-1.65445
608	8.28677	-1.67109
610	8.35501	-1.69144
612	8.28862	-1.6697
614	8.28419	-1.66505
616	8.28483	-1.65727
618	8.2448	-1.63027
620	8.26167	-1.63693
622	8.28993	-1.69439
624	8.19338	-1.6299
626	8.21163	-1.58286
628	8.23855	-1.58083
630	8.23052	-1.67389
632	8.28742	-1.60185
634	8.36792	-1.62573
636	8.43836	-1.65963
638	8.37676	-1.66231
640	8.36821	-1.68428
642	8.3714	-1.67561
644	8.42929	-1.69553
646	8.44699	-1.69795
648	8.40779	-1.73984
650	8.4355	-1.69751
652	8.39232	-1.68232
654	8.41708	-1.69419
656	8.45923	-1.6882
658	8.44238	-1.70443
660	8.47972	-1.69403
662	8.47556	-1.65309
664	8.498	-1.64144
666	8.56104	-1.73304
668	8.54519	-1.66729
670	8.59915	-1.65618
672	8.52533	-1.64831
674	8.56622	-1.63112
676	8.5943	-1.65475
678	8.68042	-1.66862
680	8.66481	-1.62802
682	8.66409	-1.57941
684	8.67297	-1.61393
686	8.79774	-1.65946
688	8.82887	-1.70621
690	8.70629	-1.62257
692	8.6252	-1.62607
694	8.6448	-1.57975
696	8.67757	-1.6185
698	8.66972	-1.61339
700	8.72282	-1.63741
702	8.70829	-1.70161
704	8.71002	-1.69639
706	8.71374	-1.63145
708	8.74157	-1.66041
710	8.68994	-1.63308
712	8.72754	-1.66588
714	8.66786	-1.61293
716	8.71906	-1.65161
718	8.70791	-1.67142
720	8.69832	-1.6617
722	8.65689	-1.63991
724	8.66102	-1.63807
726	8.73679	-1.71611
728	8.77825	-1.67021
730	8.81379	-1.64689
732	8.78645	-1.67442
734	8.73412	-1.62941
736	8.76123	-1.64979
738	8.72822	-1.59862
740	8.72863	-1.71989
742	8.68966	-1.62215
744	8.62916	-1.63295
746	8.616	-1.66543
748	8.6716	-1.69172
750	8.73487	-1.74022
752	8.68998	-1.71291
754	8.62776	-1.61528
756	8.72809	-1.63562
758	8.75787	-1.69047
760	8.67834	-1.67036
762	8.771	-1.70263
764	8.7175	-1.69246
766	8.75001	-1.64979
768	8.70736	-1.63253
770	8.73393	-1.64424
772	8.67991	-1.64293
774	8.65317	-1.7188
776	8.71259	-1.70207
778	8.77994	-1.71963
780	8.83425	-1.76978
782	8.83557	-1.77256
784	8.80277	-1.69239
786	8.78783	-1.71726
788	8.80833	-1.66109
790	8.86872	-1.75561
792	8.9051	-1.76925
794	8.852	-1.77685
796	8.80908	-1.7413
798	8.81159	-1.69217
800	8.7488	-1.65848
802	8.69358	-1.70605
804	8.692	-1.60385
806	8.76105	-1.68471
808	8.74952	-1.66142
810	8.74422	-1.67899
812	8.71201	-1.63209
814	8.72476	-1.70066
816	8.73434	-1.62944
818	8.81292	-1.68392
820	8.83221	-1.6969
822	8.76382	-1.70697
824	8.74278	-1.70526
826	8.81412	-1.68556
828	8.89036	-1.71286
830	8.78968	-1.61648
832	8.84243	-1.62841
834	8.73482	-1.61174
836	8.86672	-1.68133
838	8.85734	-1.6823
840	8.79842	-1.5845
842	8.8142	-1.68955
844	8.83787	-1.672
846	8.76968	-1.64578
848	8.78485	-1.66392
850	8.84981	-1.68503
852	8.87564	-1.61701
854	8.8822	-1.60778
856	8.86687	-1.5753
858	8.87382	-1.62157
860	8.90741	-1.62266
862	8.98109	-1.65682
864	8.94244	-1.60909
866	8.89256	-1.55162
868	8.91171	-1.62856
870	8.89757	-1.637
872	8.95028	-1.63687
874	8.96136	-1.69605
876	8.89522	-1.6348
878	8.88393	-1.59813
880	8.95773	-1.66795
882	8.94976	-1.68542
884	8.91828	-1.61099
886	8.96318	-1.62168
888	8.97018	-1.59743
890	8.90845	-1.63766
892	8.99554	-1.64876
894	9.03579	-1.65767
896	9.02097	-1.71499
898	9.03839	-1.66396
900	8.98121	-1.71583
902	8.9786	-1.68896
904	9.02678	-1.68784
906	9.02997	-1.69507
908	9.06671	-1.72314
910	9.00663	-1.57786
912	8.9969	-1.72429
914	8.97333	-1.64584
916	8.92601	-1.56695
918	8.88128	-1.64376
920	8.84539	-1.6455
922	8.97324	-1.68803
924	8.94188	-1.74172
926	8.93326	-1.76281
928	8.86924	-1.71992
930	8.94417	-1.74052
932	8.95807	-1.74605
934	9.00847	-1.78503
936	8.91517	-1.74954
938	8.93313	-1.74123
940	8.92417	-1.72349
942	8.9843	-1.7773
944	8.96242	-1.72664
946	8.91587	-1.68978
