# by the following command:	
# mdrun_d -deffnm pull-v-0-001 -s pull-v-0-001.tpr 	
#	
# mdrun_d is part of G R O M A C S:	
#	
# Gromacs Runs On Most of All Computer Systems	
#	
"@    title ""Pull force"""	
"@    xaxis  label ""Time (ps)"""	
"@    yaxis  label ""Force (kJ/mol/nm)"""	
@TYPE xy	
0	-0.00979888
2	42.802
4	-30.1483
6	-55.1105
8	-40.9128
10	-89.3194
12	-70.592
14	-69.4118
16	-78.8743
18	-56.0668
20	-113.176
22	-142.896
24	-62.767
26	-52.5192
28	-29.6058
30	-33.8222
32	0.0183872
34	-51.7885
36	-101.591
38	-90.1319
40	-64.5546
42	-135.388
44	-134.41
46	-73.6524
48	-24.186
50	-16.0531
52	-68.7406
54	-15.0117
56	-4.66847
58	-6.09988
60	-17.8354
62	-120.073
64	-15.8089
66	-21.0031
68	60.9221
70	-33.2725
72	-72.7175
74	-84.8753
76	-7.42852
78	14.6965
80	-9.90224
82	55.5176
84	56.6861
86	90.8079
88	69.5011
90	-13.0451
92	33.7436
94	-15.8773
96	-38.7077
98	-47.1423
100	-54.4795
102	-47.9568
104	-38.8417
106	-30.7353
108	-15.0166
110	53.3107
112	52.2014
114	8.3482
116	9.68291
118	-5.36943
120	-3.09926
122	31.5666
124	-10.2193
126	-26.3842
128	-16.8878
130	60.7798
132	34.3273
134	22.2763
136	59.5966
138	74.7025
140	18.6899
142	67.7435
144	2.11606
146	33.9734
148	-3.69028
150	41.7953
152	-3.92046
154	-15.7797
156	19.1065
158	53.2121
160	39.6611
162	65.5238
164	-9.89757
166	-93.2181
168	-79.8054
170	9.93549
172	-28.424
174	9.6867
176	-49.0425
178	-100.347
180	-86.5465
182	-3.82681
184	-41.3202
186	-43.0548
188	84.692
190	-17.7801
192	8.09805
194	10.5376
196	33.5064
198	59.6433
200	31.1865
202	73.1206
204	67.1766
206	-3.00196
208	47.2478
210	30.0182
212	-2.46156
214	-46.8285
216	-4.85988
218	-12.9584
220	-48.0679
222	-56.8495
224	-59.9949
226	-36.9725
228	57.0003
230	24.9599
232	0.910269
234	-49.9883
236	-38.8929
238	-12.494
240	-21.1981
242	-9.51939
244	9.87847
246	23.1565
248	42.7733
250	9.49934
252	-9.59199
254	-8.01447
256	-25.3369
258	-29.2038
260	-14.6533
262	28.9268
264	2.04112
266	-30.4463
268	4.90114
270	-65.2244
272	-54.1174
274	-42.4951
276	-34.6745
278	-1.13535
280	-23.8685
282	-6.75809
284	17.4371
286	73.5378
288	-39.5011
290	26.0538
292	49.0553
294	108.213
296	137.421
298	85.2493
300	110.546
302	47.6218
304	10.4364
306	115.978
308	-5.93038
310	-1.90719
312	-38.5053
314	-35.8692
316	4.79515
318	18.2041
320	-1.92332
322	62.2015
324	37.1449
326	99.8757
328	64.8704
330	43.0601
332	32.2224
334	87.1038
336	67.3206
338	60.5598
340	42.3082
342	35.2532
344	49.6116
346	59.4109
348	49.0953
350	43.8029
352	84.5049
354	89.6152
356	47.1247
358	86.9871
360	79.1544
362	28.8719
364	13.5079
366	71.794
368	93.1177
370	15.3729
372	51.6079
374	7.85416
376	73.6933
378	90.2874
380	90.1734
382	-29.0943
384	9.65177
386	8.26913
388	35.1327
390	57.8519
392	25.4931
394	26.8786
396	15.9279
398	6.40687
400	35.3542
402	40.0158
404	30.8872
406	-19.769
408	71.1083
410	60.8349
412	56.9704
414	53.4098
416	28.9266
418	-33.2151
420	46.7678
422	89.5834
424	17.6181
426	52.2705
428	6.70478
430	89.9193
432	30.0532
434	98.8127
436	73.207
438	111.855
440	117.215
442	43.9929
444	21.7774
446	47.1581
448	57.0786
450	31.3693
452	29.8041
454	79.1733
456	23.5075
458	125.915
460	117.571
462	22.4271
464	65.8618
466	33.6032
468	83.843
470	44.9638
472	138.478
474	97.1634
476	146.675
478	149.353
480	101.613
482	130.659
484	173.448
486	125.5
488	59.9428
490	63.8988
492	90.3004
494	50.3179
496	52.4277
498	1.78121
500	65.205
502	-8.6331
504	-23.1916
506	-40.8944
508	-19.1562
510	23.6452
512	67.3709
514	78.333
516	55.0755
518	101.993
520	53.1526
522	93.3803
524	58.5543
526	66.1151
528	109.203
530	71.407
532	108.299
534	163.133
536	193.565
538	138.307
540	144.37
542	43.5151
544	23.2251
546	25.6354
548	43.6951
550	49.2785
552	81.0496
554	85.5909
556	131.459
558	103.663
560	43.6051
562	5.47592
564	93.4363
566	96.6869
568	76.8811
570	67.7596
572	78.1269
574	72.313
576	1.9177
578	-5.03432
580	5.16086
582	78.2649
584	34.361
586	4.80558
588	4.70202
590	-44.2742
592	36.0359
594	-3.03117
596	85.01
598	120.903
600	99.1083
602	12.1846
604	52.4635
606	56.5262
608	20.2577
610	28.7755
612	37.788
614	-38.8262
616	-55.0294
618	12.0897
620	30.4029
622	83.1159
624	20.8039
626	20.8415
628	9.34284
630	100.721
632	141.893
634	161.899
636	160.827
638	153.674
640	122.59
642	144.833
644	122.183
646	87.4458
648	27.1971
650	28.3628
652	55.3828
654	54.487
656	40.3127
658	57.9342
660	108.728
662	70.185
664	1.58545
666	8.69583
668	45.9831
670	55.1455
672	30.3117
674	55.3399
676	26.0031
678	-1.14914
680	17.0912
682	-49.7292
684	32.2277
