# by the following command:		
# mdrun_d -deffnm pull-v-0-001 -s pull-v-0-001.tpr 		
#		
# mdrun_d is part of G R O M A C S:		
#		
# Gromacs Runs On Most of All Computer Systems		
#		
"@    title ""Pull COM"""		
"@    xaxis  label ""Time (ps)"""		
"@    yaxis  label ""Position (nm)"""		
@TYPE xy		
@ view 0.15, 0.15, 0.75, 0.85		
@ legend on		
@ legend box on		
@ legend loctype view		
@ legend 0.78, 0.8		
@ legend length 2		
"@ s0 legend ""0 Z"""		
"@ s1 legend ""1 dZ"""		
0	8.70145	-1.61419
2	8.66584	-1.57337
4	8.70836	-1.64832
6	8.71575	-1.67529
8	8.76111	-1.66309
10	8.83582	-1.7135
12	8.77029	-1.69677
14	8.82662	-1.69759
16	8.83862	-1.70905
18	8.82561	-1.68824
20	8.85888	-1.74735
22	8.85218	-1.77907
24	8.73649	-1.70094
26	8.78741	-1.6927
28	8.78308	-1.67178
30	8.80755	-1.678
32	8.82712	-1.64616
34	8.86862	-1.69996
36	8.90462	-1.75177
38	8.89384	-1.74231
40	8.85247	-1.71873
42	8.98948	-1.79156
44	8.97167	-1.79259
46	8.85608	-1.73383
48	8.90229	-1.68636
50	8.94112	-1.68023
52	9.00636	-1.73492
54	8.90719	-1.68319
56	8.87967	-1.67484
58	8.9278	-1.67828
60	8.89278	-1.69201
62	9.00761	-1.79625
64	8.92793	-1.69399
66	8.9369	-1.70118
68	8.8365	-1.62125
70	8.90075	-1.71745
72	8.94302	-1.75889
74	8.95266	-1.77305
76	8.88784	-1.6976
78	8.90821	-1.67748
80	8.9081	-1.70408
82	8.87377	-1.64066
84	8.87925	-1.64149
86	8.88059	-1.60937
88	8.91483	-1.63268
90	8.94591	-1.71722
92	8.90138	-1.67243
94	8.99921	-1.72405
96	8.98184	-1.74888
98	9.01423	-1.75932
100	9.0134	-1.76866
102	9.02797	-1.76413
104	9.05737	-1.75702
106	9.05488	-1.75091
108	9.02674	-1.73719
110	9.05124	-1.67087
112	8.9708	-1.67398
114	8.91994	-1.71983
116	8.94668	-1.72049
118	8.94804	-1.73755
120	8.9673	-1.73728
122	8.93529	-1.70461
124	8.92516	-1.7484
126	8.99648	-1.76656
128	9.03053	-1.75906
130	9.03331	-1.6834
132	8.97045	-1.71185
134	8.95489	-1.7259
136	8.9449	-1.69058
138	8.96137	-1.67747
140	8.99961	-1.73549
142	8.90714	-1.68843
144	8.95146	-1.75606
146	8.89406	-1.7262
148	8.91816	-1.76587
150	8.83796	-1.72238
152	8.87651	-1.7701
154	8.88508	-1.78396
156	8.84317	-1.75107
158	8.76343	-1.71896
160	8.72252	-1.73452
162	8.63081	-1.71065
164	8.70087	-1.78807
166	8.70677	-1.87339
168	8.6812	-1.86198
170	8.64959	-1.77424
172	8.63657	-1.8146
174	8.55237	-1.77849
176	8.62399	-1.83922
178	8.69599	-1.89252
180	8.6797	-1.88072
182	8.65137	-1.8
184	8.69019	-1.8395
186	8.76391	-1.84323
188	8.72275	-1.71748
190	8.7548	-1.82196
192	8.70585	-1.79808
194	8.73489	-1.79764
196	8.73329	-1.77667
198	8.72018	-1.75253
200	8.73187	-1.78299
202	8.70723	-1.74306
204	8.70218	-1.751
206	8.77553	-1.82318
208	8.7666	-1.77493
210	8.77563	-1.79416
212	8.85514	-1.82864
214	8.91724	-1.875
216	8.87882	-1.83504
218	8.88097	-1.84513
220	8.85059	-1.88224
222	8.92586	-1.89303
224	8.92075	-1.89817
226	8.89061	-1.87715
228	8.75996	-1.78518
230	8.797	-1.81922
232	8.78832	-1.84527
234	8.78625	-1.89816
236	8.79109	-1.88907
238	8.83301	-1.86467
240	8.82081	-1.87537
242	8.81513	-1.8657
244	8.83177	-1.8483
246	8.75132	-1.83702
248	8.66604	-1.8194
250	8.66498	-1.85468
252	8.70546	-1.87577
254	8.71331	-1.87619
256	8.7045	-1.89551
258	8.69982	-1.90138
260	8.67895	-1.88883
262	8.68696	-1.84725
264	8.6497	-1.87614
266	8.67835	-1.91062
268	8.6734	-1.87728
270	8.685	-1.9494
272	8.73634	-1.94029
274	8.74777	-1.93067
276	8.80838	-1.92485
278	8.75105	-1.89331
280	8.7899	-1.91804
282	8.79729	-1.90293
284	8.74114	-1.88074
286	8.72768	-1.82664
288	8.77839	-1.94168
290	8.7045	-1.87812
292	8.73885	-1.85712
294	8.6936	-1.79996
296	8.63572	-1.77276
298	8.61328	-1.82693
300	8.63933	-1.80363
302	8.70745	-1.86855
304	8.72801	-1.90774
306	8.66012	-1.8042
308	8.7741	-1.92811
310	8.79221	-1.92608
312	8.74821	-1.96468
314	8.72424	-1.96405
316	8.75684	-1.92538
318	8.76984	-1.91397
320	8.76555	-1.9361
322	8.77838	-1.87397
324	8.75311	-1.90103
326	8.70024	-1.8403
328	8.73684	-1.87731
330	8.7645	-1.90112
332	8.85849	-1.91395
334	8.79046	-1.86107
336	8.85086	-1.88286
338	8.83325	-1.89162
340	8.82132	-1.91187
342	8.86807	-1.92092
344	8.8607	-1.90856
346	8.9118	-1.90077
348	8.8723	-1.91308
350	8.89791	-1.92037
352	8.85589	-1.88167
354	8.85892	-1.87856
356	8.89502	-1.92305
358	8.90889	-1.88519
360	8.89125	-1.89502
362	8.95114	-1.9473
364	9.01515	-1.96467
366	8.97401	-1.90838
368	8.94246	-1.88906
370	8.97926	-1.9688
372	8.99769	-1.93457
374	8.9524	-1.98032
376	8.89441	-1.91648
378	8.89581	-1.90189
380	8.98298	-1.904
382	9.02831	-2.02527
384	8.93849	-1.98852
386	8.93542	-1.99191
388	8.91933	-1.96704
390	8.90518	-1.94632
392	8.91134	-1.98068
394	8.9193	-1.9813
396	8.92756	-1.99425
398	8.95407	-2.00577
400	8.97789	-1.97882
402	9.01379	-1.97616
404	8.99737	-1.98729
406	9.0715	-2.03995
408	9.06327	-1.95107
410	9.03796	-1.96334
412	9.01106	-1.96921
414	9.03555	-1.97477
416	9.06391	-2.00125
418	9.13289	-2.06539
420	9.08593	-1.98741
422	9.12236	-1.94659
424	9.14602	-2.02056
426	9.15467	-1.98791
428	9.23126	-2.03547
430	9.14889	-1.95426
432	9.17778	-2.01612
434	9.05581	-1.94936
436	9.13198	-1.97697
438	9.08409	-1.94032
440	9.13021	-1.93696
442	9.10963	-2.01218
444	9.20675	-2.0364
446	9.24079	-2.01302
448	9.19673	-2.0051
450	9.17715	-2.03281
452	9.18302	-2.03637
454	9.21188	-1.989
456	9.27362	-2.04667
458	9.18821	-1.94626
460	9.15455	-1.95661
462	9.26317	-2.05375
464	9.19607	-2.01231
466	9.17912	-2.04657
468	9.10563	-1.99833
470	9.14369	-2.03921
472	9.06239	-1.9477
474	9.0768	-1.99101
476	9.05083	-1.9435
478	9.02975	-1.94282
480	9.06979	-1.99256
482	8.99501	-1.96552
484	8.98703	-1.92473
486	8.97914	-1.97468
488	9.02253	-2.04223
490	8.95794	-2.04028
492	8.96028	-2.01588
494	9.00093	-2.05786
496	8.99852	-2.05775
498	9.01293	-2.1104
500	8.99004	-2.04897
502	9.0542	-2.12481
504	8.97324	-2.14137
506	8.94719	-2.16107
508	8.89866	-2.14133
510	8.88473	-2.10053
512	8.85651	-2.05881
514	8.89646	-2.04984
516	8.94457	-2.0751
518	8.9108	-2.03018
520	9.00739	-2.08102
522	8.97246	-2.0428
524	9.00083	-2.07962
526	8.93389	-2.07406
528	8.93609	-2.03297
530	9.04396	-2.07277
532	9.00842	-2.03788
534	8.94665	-1.98504
536	8.95876	-1.95661
538	9.0097	-2.01387
540	8.96287	-2.00981
542	9.03715	-2.11266
544	9.02195	-2.13495
546	9.05545	-2.13454
548	9.07225	-2.11848
550	9.10793	-2.1149
552	9.02865	-2.08513
554	9.03331	-2.08259
556	9.03142	-2.03872
558	9.05542	-2.06851
560	9.10583	-2.13057
562	9.08124	-2.1707
564	9.08245	-2.08474
566	9.08698	-2.08349
568	9.11534	-2.1053
570	9.08685	-2.11642
572	9.00493	-2.10805
574	8.95588	-2.11586
576	9.0837	-2.18826
578	9.05274	-2.19721
580	9.05471	-2.18902
582	8.96499	-2.11791
584	8.98208	-2.16382
586	9.03554	-2.19537
588	8.96188	-2.19747
590	9.06348	-2.24845
592	8.96956	-2.17014
594	8.97917	-2.21121
596	8.95418	-2.12517
598	8.94883	-2.09127
600	8.96313	-2.11507
602	9.0379	-2.20399
604	9.04246	-2.16571
606	8.98066	-2.16365
608	9.0194	-2.20192
610	9.02606	-2.1954
612	9.05069	-2.18839
614	9.12208	-2.267
616	9.03895	-2.28521
618	8.96408	-2.22009
620	8.98621	-2.20377
622	8.92719	-2.15306
624	8.9324	-2.21737
626	8.93232	-2.21933
628	8.95624	-2.23283
630	8.94015	-2.14346
632	8.86959	-2.10428
634	8.85163	-2.08628
636	8.83518	-2.08935
638	8.77223	-2.0985
640	8.76563	-2.13159
642	8.86953	-2.11134
644	8.83329	-2.13599
646	8.84675	-2.17273
648	8.84648	-2.23498
650	8.84772	-2.23581
652	8.82908	-2.21079
654	8.79555	-2.21369
656	8.78654	-2.22986
658	8.8362	-2.21424
660	8.71257	-2.16545
662	8.7274	-2.20599
664	8.78939	-2.27659
666	8.69962	-2.27148
668	8.61453	-2.23619
670	8.66361	-2.22903
672	8.68063	-2.25586
674	8.70782	-2.23284
676	8.72433	-2.26417
678	8.67063	-2.29333
680	8.72609	-2.27709
682	8.81217	-2.34591
684	8.79813	-2.26595
686	8.7126	-2.24495
688	8.78125	-2.32115
690	8.80824	-2.29099
692	8.80373	-2.25599
694	8.83724	-2.28114
696	8.75451	-2.28023
698	8.73348	-2.28845
700	8.71222	-2.24714
702	8.6404	-2.23976
704	8.63929	-2.23711
706	8.67826	-2.26687
708	8.68684	-2.28265
710	8.67524	-2.27475
712	8.6942	-2.2772
714	8.67963	-2.28604
716	8.67527	-2.35523
718	8.63603	-2.30567
720	8.60733	-2.26919
722	8.52979	-2.25
724	8.53153	-2.30532
726	8.5367	-2.26605
728	8.48922	-2.29395
730	8.54311	-2.32952
732	8.50916	-2.25317
734	8.47819	-2.23586
736	8.5466	-2.28425
738	8.58512	-2.31774
740	8.52868	-2.25138
742	8.53284	-2.21231
744	8.57515	-2.24226
746	8.64085	-2.29876
748	8.64149	-2.24528
750	8.71028	-2.29025
752	8.68225	-2.28089
754	8.72404	-2.33245
756	8.56853	-2.22754
758	8.73556	-2.37542
760	8.71298	-2.38344
762	8.66093	-2.2218
764	8.67366	-2.28277
766	8.6888	-2.3481
768	8.72232	-2.357
770	8.70226	-2.31103
772	8.8242	-2.33089
774	8.79731	-2.38036
776	8.82513	-2.3388
778	8.85186	-2.31851
780	8.75625	-2.21268
782	8.85621	-2.34753
784	8.88989	-2.33355
786	8.87871	-2.35743
788	8.88074	-2.39366
790	8.8951	-2.37566
792	8.8181	-2.32214
794	8.84321	-2.31069
796	8.92637	-2.32493
798	8.87476	-2.31242
800	8.84469	-2.29288
802	8.87918	-2.33894
804	8.88141	-2.46693
806	8.85296	-2.42601
808	8.87668	-2.33756
810	8.86309	-2.38095
812	8.83955	-2.47484
814	8.81845	-2.41501
816	8.79374	-2.34731
818	8.72967	-2.3557
820	8.64674	-2.34781
822	8.65126	-2.32899
824	8.66745	-2.3602
826	8.73449	-2.35639
828	8.69094	-2.39422
830	8.68797	-2.45918
832	8.64828	-2.38257
834	8.66536	-2.40452
836	8.65632	-2.40892
838	8.76626	-2.47775
840	8.72653	-2.44125
842	8.73499	-2.43751
844	8.63865	-2.40232
846	8.65602	-2.31462
848	8.74609	-2.44478
850	8.75738	-2.41203
852	8.69986	-2.38534
854	8.73115	-2.44953
856	8.67762	-2.42409
858	8.68224	-2.43107
860	8.66969	-2.44345
862	8.61681	-2.38088
864	8.6806	-2.36955
866	8.67698	-2.40436
868	8.75583	-2.50783
870	8.72437	-2.39885
872	8.76891	-2.49954
874	8.751	-2.50337
876	8.71932	-2.44958
878	8.72415	-2.40433
880	8.78816	-2.43971
882	8.82502	-2.44865
884	8.76273	-2.3904
886	8.91245	-2.5328
888	8.80585	-2.44976
890	8.82805	-2.42715
892	8.82126	-2.45247
894	8.7988	-2.40679
896	8.88985	-2.44787
898	8.86252	-2.37221
900	8.90717	-2.44153
902	8.96239	-2.49768
904	8.97191	-2.51106
906	8.98821	-2.46024
908	8.97673	-2.49531
910	8.94125	-2.43931
912	8.95577	-2.44783
914	8.96691	-2.42789
916	8.99268	-2.43337
918	9.06434	-2.53808
920	9.09264	-2.61835
922	9.05024	-2.52448
924	9.00346	-2.50378
926	8.93665	-2.52228
928	8.9264	-2.53922
930	8.91453	-2.45841
932	8.93427	-2.49918
934	8.93783	-2.43695
936	8.92295	-2.47075
938	8.94362	-2.54207
940	8.88787	-2.51698
942	8.8328	-2.44827
944	8.75252	-2.41025
946	8.85211	-2.44758
