# by the following command:	
# mdrun_d -deffnm pull-v-0-01 -s pull-v-0-01.tpr 	
#	
# mdrun_d is part of G R O M A C S:	
#	
# Good gRace! Old Maple Actually Chews Slate	
#	
"@    title ""Pull force"""	
"@    xaxis  label ""Time (ps)"""	
"@    yaxis  label ""Force (kJ/mol/nm)"""	
@TYPE xy	
0	-0.00979888
2	17.7103
4	-82.4507
6	-47.5081
8	-24.2246
10	-30.727
12	4.56986
14	0.924329
16	20.4688
18	-69.6836
20	69.9028
22	59.0082
24	39.9414
26	27.0087
28	59.4269
30	35.3108
32	167.438
34	124.07
36	134.362
38	39.9147
40	26.9947
42	72.6832
44	23.2518
46	48.8838
48	16.0064
50	26.6906
52	49.6224
54	41.1399
56	85.7439
58	92.4772
60	97.4427
62	57.1653
64	42.8917
66	26.3086
68	-20.7969
70	-16.1014
72	-18.1403
74	36.7725
76	18.2292
78	70.4265
80	18.795
82	47.8125
84	54.6173
86	53.0314
88	111.862
90	201.293
92	200.439
94	131.716
96	138.019
98	215.954
100	122.014
102	208.443
104	129.679
106	97.1513
108	83.2842
110	204.168
112	161.842
114	215.78
116	158.351
118	177.073
120	204.657
122	177.881
124	247.306
126	179.616
128	239.346
130	177.472
132	187.772
134	137.826
136	194.108
138	190.964
140	225.178
142	206.811
144	159.06
146	200.697
148	182.689
150	176.515
152	243.496
154	243.333
156	241.167
158	170.198
160	75.1318
162	86.0779
164	121.945
166	204.731
168	209.282
170	209.199
172	181.498
174	167.749
176	99.0683
178	195.498
180	148.081
182	142.948
184	137.592
186	124.834
188	162.031
190	197.532
192	226.713
194	193.689
196	277.165
198	218.966
200	229.107
202	189.144
204	228.739
206	215.029
208	139.018
210	268.718
212	233.43
214	210.514
216	172.046
218	108.978
220	135.563
222	90.2379
224	103.083
226	151.191
228	129.657
230	78.26
232	78.3817
234	161.591
236	177.416
238	225.897
240	184.498
242	124.741
244	158.752
246	246.702
248	211.402
250	204.083
252	316.293
254	270.498
256	176.578
258	300.537
260	362.924
262	368.861
264	299.499
266	329.944
268	304.468
270	301.708
272	322.489
274	250.212
276	307.999
278	325.144
280	286.046
282	330.472
284	373.786
286	345.185
288	363.464
290	394.861
292	366.415
294	406.434
296	445.781
298	463.225
300	468.204
302	474.983
304	499.043
306	444.35
308	461.208
310	457.897
312	488.73
314	531.547
316	525.262
318	486.313
320	494.761
322	551.319
324	553.275
326	604.716
328	629.7
330	617.943
332	597.547
334	675.756
336	626.008
338	710.239
340	708.656
342	698.519
344	691.809
346	759.837
348	799.839
350	728.51
352	804.272
354	827.443
356	823.661
358	883.737
360	859.842
362	888.781
364	901.267
