# by the following command:		
# mdrun_d -deffnm pull-v-0-01 -s pull-v-0-01.tpr 		
#		
# mdrun_d is part of G R O M A C S:		
#		
# Good gRace! Old Maple Actually Chews Slate		
#		
"@    title ""Pull COM"""		
"@    xaxis  label ""Time (ps)"""		
"@    yaxis  label ""Position (nm)"""		
@TYPE xy		
@ view 0.15, 0.15, 0.75, 0.85		
@ legend on		
@ legend box on		
@ legend loctype view		
@ legend 0.78, 0.8		
@ legend length 2		
"@ s0 legend ""0 Z"""		
"@ s1 legend ""1 dZ"""		
0	8.70145	-1.61419
2	8.65102	-1.61647
4	8.7542	-1.73663
6	8.72163	-1.72168
8	8.76792	-1.7184
10	8.77592	-1.7449
12	8.79299	-1.72961
14	8.76518	-1.75325
16	8.74261	-1.75371
18	8.80268	-1.86386
20	8.70255	-1.74427
22	8.70487	-1.77517
24	8.72786	-1.81423
26	8.72164	-1.84717
28	8.70635	-1.83475
30	8.73061	-1.87887
32	8.69491	-1.76674
34	8.72662	-1.83011
36	8.72084	-1.83981
38	8.70731	-1.95426
40	8.81232	-1.98718
42	8.79351	-1.96149
44	8.89788	-2.03092
46	8.90261	-2.02529
48	8.95935	-2.07817
50	8.98837	-2.08749
52	9.00431	-2.08455
54	9.02284	-2.11304
56	9.05891	-2.08843
58	9.0077	-2.1017
60	9.02454	-2.11673
62	8.98881	-2.17701
64	9.01466	-2.21128
66	9.0172	-2.24787
68	9.02465	-2.31497
70	9.0177	-2.33028
72	9.07468	-2.35232
74	8.98768	-2.3174
76	9.03139	-2.35595
78	8.99992	-2.32375
80	9.06639	-2.39538
82	8.97305	-2.38636
84	8.94651	-2.39956
86	8.91623	-2.42114
88	8.94227	-2.38231
90	8.90764	-2.31288
92	8.89525	-2.33374
94	8.94172	-2.42246
96	8.94756	-2.43616
98	8.86895	-2.37822
100	9.01734	-2.49216
102	8.9593	-2.42573
104	8.99499	-2.5245
106	9.07811	-2.57703
108	9.11075	-2.61089
110	9.07302	-2.51001
112	9.09805	-2.57233
114	9.04496	-2.5384
116	9.07409	-2.61583
118	9.02639	-2.6171
120	9.05046	-2.60952
122	9.12236	-2.65629
124	9.07736	-2.60687
126	9.12333	-2.69456
128	9.08595	-2.65483
130	9.20794	-2.7367
132	9.21853	-2.7464
134	9.17445	-2.81635
136	9.1881	-2.78007
138	9.18708	-2.80321
140	9.15354	-2.789
142	9.22768	-2.82737
144	9.2564	-2.89512
146	9.24043	-2.87348
148	9.24929	-2.91149
150	9.22715	-2.93766
152	9.23566	-2.89068
154	9.2273	-2.91084
156	9.21543	-2.93301
158	9.27454	-3.02398
160	9.38687	-3.13904
162	9.43436	-3.1481
164	9.46109	-3.13223
166	9.37736	-3.06945
168	9.48245	-3.08489
170	9.47595	-3.10498
172	9.5619	-3.15268
174	9.57049	-3.18643
176	9.53854	-3.27511
178	9.47858	-3.19868
180	9.44866	-3.2661
182	9.48527	-3.29123
184	9.47594	-3.31658
186	9.54267	-3.34934
188	9.44064	-3.33215
190	9.47237	-3.31664
192	9.42605	-3.30746
194	9.43932	-3.36049
196	9.38834	-3.29701
198	9.45281	-3.37521
200	9.42316	-3.38507
202	9.51148	-3.44503
204	9.51428	-3.42544
206	9.54587	-3.45915
208	9.55636	-3.55516
210	9.51618	-3.44546
212	9.55746	-3.50075
214	9.59384	-3.54366
216	9.67081	-3.60213
218	9.63727	-3.6852
220	9.61031	-3.67861
222	9.62781	-3.74394
224	9.6015	-3.75109
226	9.62815	-3.72299
228	9.69079	-3.76452
230	9.70167	-3.83592
232	9.66331	-3.85579
234	9.59041	-3.79259
236	9.6053	-3.79676
238	9.5981	-3.76828
240	9.61412	-3.82968
242	9.63164	-3.90944
244	9.57931	-3.89542
246	9.56894	-3.82747
248	9.56287	-3.88277
250	9.52061	-3.91009
252	9.45267	-3.81788
254	9.56293	-3.88368
256	9.60329	-3.9976
258	9.5587	-3.89364
260	9.4669	-3.85125
262	9.52304	-3.86532
264	9.63056	-3.95468
266	9.59313	-3.94423
268	9.57764	-3.98971
270	9.59137	-4.01247
272	9.59551	-4.01169
274	9.63678	-4.10396
276	9.6026	-4.06618
278	9.60436	-4.06903
280	9.65274	-4.12813
282	9.60212	-4.1037
284	9.52502	-4.08039
286	9.51264	-4.12899
288	9.52847	-4.13071
290	9.51105	-4.11932
292	9.51832	-4.16776
294	9.5528	-4.14774
296	9.56663	-4.1284
298	9.60729	-4.13095
300	9.69741	-4.14597
302	9.64268	-4.15919
304	9.57165	-4.15513
306	9.59847	-4.22983
308	9.57594	-4.23297
310	9.59264	-4.25628
312	9.57337	-4.24545
314	9.56759	-4.22263
316	9.55713	-4.24891
318	9.60301	-4.30786
320	9.61122	-4.31942
322	9.59092	-4.28286
324	9.62684	-4.3009
326	9.65844	-4.26946
328	9.63035	-4.26448
330	9.60614	-4.29623
332	9.58918	-4.33663
334	9.59025	-4.27842
336	9.60691	-4.34817
338	9.58179	-4.28394
340	9.5334	-4.30552
342	9.5342	-4.33566
344	9.54778	-4.36237
346	9.49119	-4.31434
348	9.4931	-4.29434
350	9.50885	-4.38567
352	9.46863	-4.3299
354	9.49497	-4.32673
356	9.4827	-4.35052
358	9.44008	-4.31044
360	9.46564	-4.35433
362	9.41349	-4.3454
364	9.39524	-4.35291
