# by the following command:	
# mdrun_d -deffnm pull-v-0-1 -s pull-v-0-1.tpr 	
#	
# mdrun_d is part of G R O M A C S:	
#	
# Giving Russians Opium May Alter Current Situation	
#	
"@    title ""Pull force"""	
"@    xaxis  label ""Time (ps)"""	
"@    yaxis  label ""Force (kJ/mol/nm)"""	
@TYPE xy	
0	-0.00979888
2	118.748
4	184.038
6	179.869
8	269.651
10	309.85
12	348.598
14	385.644
16	387.871
18	492.492
20	504.355
22	515.115
24	549.188
26	536.025
28	605.958
30	640.141
32	715.145
34	807.696
36	1002.85
38	1110.35
40	1249.42
42	1450.3
44	1564.64
46	1743.74
48	1890.28
50	2090.54
52	2298.9
54	2467.38
56	2654.12
58	2811.28
60	3027.09
62	3207.33
64	3387.64
66	3572.26
68	3770.24
70	3930.53
72	4136.99
74	4310.68
76	4500.22
78	4696.29
80	4885.99
82	5068.61
84	5251.55
86	5446.56
88	5653.85
90	5849.65
92	6021.14
94	6224.47
96	6421.22
98	6587.88
100	6781.82
