# by the following command:	
# g_wham_s -it tpr-files.dat -if pullf-files.dat -o pmf.xvg -hist -unit kCal -v -nBootstrap 20 	
#	
# g_wham_s is part of G R O M A C S:	
#	
# GROningen MAchine for Chemical Simulation	
#	
"@    title ""Umbrella potential"""	
"@    xaxis  label ""z"""	
"@    yaxis  label ""E (kcal mol\S-1\N)"""	
@TYPE xy	
1.411948	0
1.42466	0.2028888
1.437372	0.2890349
1.450084	-0.1166634
1.462796	-0.4384716
1.475508	0.5014264
1.48822	-0.08623713
1.500932	0.1596605
1.513644	0.1192894
1.526356	0.08877529
1.539068	0.2249649
1.55178	0.2042376
1.564492	0.2981519
1.577204	0.3491912
1.589916	0.3281799
1.602628	0.407311
1.615339	0.4624136
1.628051	0.4424783
1.640763	0.4479933
1.653475	0.5477823
1.666187	0.5752327
1.678899	0.6319328
1.691611	0.6023785
1.704323	0.6740752
1.717035	0.631094
1.729747	0.6569463
1.742459	0.7124467
1.755171	0.7536276
1.767883	0.80686
1.780595	0.8100855
1.793307	0.8727695
1.806019	0.9498124
1.818731	0.9814895
1.831443	1.002571
1.844154	0.9270051
1.856866	0.968833
1.869578	1.046801
1.88229	1.004393
1.895002	1.119686
1.907714	1.129829
1.920426	1.055274
1.933138	1.169408
1.94585	1.111332
1.958562	1.129817
1.971274	1.181771
1.983986	1.210565
1.996698	1.236845
2.00941	1.30124
2.022122	1.304301
2.034834	1.356421
2.047546	1.434445
2.060258	1.404598
2.07297	1.504281
2.085681	1.53284
2.098393	1.628509
2.111105	1.612865
2.123817	1.683172
2.136529	1.752867
2.149241	1.788246
2.161953	1.79383
2.174665	1.823593
2.187377	1.881182
2.200089	1.893741
2.212801	1.979013
2.225513	2.025069
2.238225	2.038456
2.250937	2.117859
2.263649	2.12585
2.276361	2.21677
2.289073	2.313075
2.301785	2.360859
2.314497	2.411225
2.327208	2.564951
2.33992	2.580367
2.352632	2.638725
2.365344	2.744831
2.378056	2.847761
2.390768	2.933753
2.40348	2.998552
2.416192	3.093158
2.428904	3.138018
2.441616	3.212349
2.454328	3.342432
2.46704	3.511726
2.479752	3.467219
2.492464	3.630338
2.505176	3.862169
2.517888	3.869502
2.5306	3.677901
2.543312	3.988699
2.556024	3.903135
2.568735	3.987848
2.581447	4.04495
2.594159	4.097783
2.606871	4.110891
2.619583	4.226925
2.632295	4.238153
2.645007	4.34574
2.657719	4.425535
2.670431	4.397335
2.683143	4.48311
2.695855	4.541414
2.708567	4.659293
2.721279	4.667862
2.733991	4.720418
2.746703	4.842939
2.759415	4.858448
2.772127	4.992891
2.784839	4.993335
2.797551	5.091144
2.810262	5.09799
2.822974	5.152675
2.835686	5.241378
2.848398	5.302186
2.86111	5.391164
2.873822	5.401277
2.886534	5.488012
2.899246	5.536738
2.911958	5.670291
2.92467	5.847055
2.937382	5.87933
2.950094	5.855238
2.962806	5.987401
2.975518	6.00407
2.98823	6.090503
3.000942	6.169447
3.013654	6.253386
3.026366	6.326519
3.039078	6.265464
3.051789	6.381652
3.064501	6.398324
3.077213	6.433984
3.089925	6.46996
3.102637	6.501624
3.115349	6.467904
3.128061	6.608061
3.140773	6.613678
3.153485	6.617304
3.166197	6.65983
3.178909	6.63196
3.191621	6.698163
3.204333	6.809155
3.217045	6.891687
3.229757	6.888986
3.242469	7.003337
3.255181	7.06743
3.267893	7.172599
3.280604	7.185143
3.293316	7.273619
3.306028	7.405025
3.31874	7.36613
3.331452	7.473741
3.344164	7.467157
3.356876	7.593443
3.369588	7.637601
3.3823	7.708454
3.395012	7.753548
3.407724	7.797411
3.420436	7.858934
3.433148	7.965096
3.44586	8.01291
3.458572	8.132521
3.471284	8.18317
3.483996	8.245632
3.496708	8.411546
3.50942	8.470547
3.522131	8.598581
3.534843	8.691054
3.547555	8.731563
3.560267	8.939086
3.572979	9.097845
3.585691	9.222348
3.598403	9.246184
3.611115	9.440562
3.623827	9.624474
3.636539	9.652448
3.649251	9.752571
3.661963	9.827664
3.674675	10.00234
3.687387	10.01415
3.700099	10.16652
3.712811	10.31286
3.725523	10.36661
3.738235	10.43693
3.750947	10.53283
3.763658	10.72618
3.77637	10.74958
3.789082	10.91567
3.801794	11.0419
3.814506	11.10149
3.827218	11.17336
3.83993	11.30766
3.852642	11.2089
3.865354	11.58909
3.878066	12.29186
3.890778	11.8249
3.90349	12.00193
3.916202	12.64964
3.928914	0
3.941626	12.24814
